time [s],q1 [rad],q2 [rad],q1dot [rad/s],q2dot [rad/s],q1ddot [rad/s^2],q2ddot [rad/s^2],u1 [Nm],u2 [Nm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,-20.000000
0.010000,0.016758,-0.072397,3.093452,-13.891311,290.471453,-1257.225480,19.910696,-19.910696
0.020000,0.058877,-0.293648,5.312634,-26.383330,155.996136,-710.245121,19.743330,-19.743330
0.030000,0.112557,-0.597289,5.912862,-29.060846,22.594064,-216.569075,19.498953,-19.498953
0.040000,0.165518,-0.816927,6.399165,-29.802781,-44.987583,0.039100,19.178912,-19.178912
0.050000,0.243689,-1.230607,4.967334,-31.260080,-71.905598,37.878507,18.784846,-18.784846
0.060000,0.264847,-1.350983,4.613389,-28.661170,-92.905729,8.375770,18.318678,-18.318678
0.070000,0.344212,-1.847911,3.468072,-32.533165,-122.551219,-56.962021,17.782607,-17.782607
0.080000,0.337545,-1.981307,2.189429,-29.123501,-155.374516,-139.658446,17.179093,-17.179093
0.090000,0.390682,-2.568279,0.328860,-33.829655,-183.617281,-286.515073,16.510853,-16.510853
0.100000,0.369301,-2.907207,-1.447339,-33.415347,-154.728403,-295.920833,15.780846,-15.780846
0.110000,0.348392,-3.361374,-2.399687,-35.240423,26.576690,-19.081125,14.992257,-14.992257
0.120000,0.281321,-3.595982,-1.056375,-40.643284,217.420097,222.497608,14.148487,-14.148487
0.130000,0.319849,-4.252092,1.430026,-35.205735,234.670751,122.877370,13.253139,-13.253139
0.140000,0.356272,-3.999821,3.455950,-33.465726,223.601566,-57.577331,12.310001,-12.310001
0.150000,0.348726,-4.863305,5.651882,-39.667455,211.100811,-267.091464,11.323029,-11.323029
0.160000,0.476544,-5.192437,7.516756,-38.002647,249.167783,-504.563515,10.296335,-10.296335
0.170000,0.505689,-4.976087,10.354633,-44.972050,267.862142,-905.245981,9.234163,-9.234163
0.180000,0.668213,-6.053829,13.042855,-52.644407,229.320111,-760.369809,8.140879,-8.140879
0.190000,0.774438,-6.767377,12.215457,-48.009933,-277.090310,1344.514846,7.020949,-7.020949
0.200000,0.909988,-7.178259,8.716655,-36.220726,-303.679227,1092.003928,5.878921,-5.878921
0.210000,1.017255,-6.832461,7.306501,-33.467062,-179.594845,601.956033,4.719409,-4.719409
0.220000,0.946441,-7.600894,5.697799,-25.393560,-136.578729,393.129602,3.547073,-3.547073
0.230000,1.141661,-8.428633,4.021763,-22.159936,-103.318101,301.573739,2.366597,-2.366597
0.240000,1.162297,-8.826596,3.453610,-19.244392,-87.866268,197.342503,1.182678,-1.182678
0.250000,1.047280,-7.795198,2.372017,-17.284068,-82.317347,193.763237,0.000000,-0.000000
0.260000,1.277701,-7.928260,1.779637,-16.740791,-61.509857,156.793934,-1.176779,1.176779
0.270000,1.136408,-8.953630,1.240908,-15.493512,-54.657152,157.590621,-2.343049,2.343049
0.280000,1.229665,-9.546780,0.785910,-13.266247,-40.221472,180.369748,-3.494264,3.494264
0.290000,1.134675,-9.620648,0.406515,-12.737135,-33.071639,198.245204,-4.625959,4.625959
0.300000,1.170173,-9.763508,0.171665,-10.271467,-18.902339,207.819878,-5.733770,5.733770
0.310000,1.217480,-8.810406,0.026122,-8.409777,-9.330981,230.414105,-6.813448,6.813448
0.320000,1.185500,-8.670873,-0.058152,-4.922070,-5.947257,240.454333,-7.860876,7.860876
0.330000,1.284053,-9.089662,-0.108280,-2.771681,-4.766180,246.623852,-8.872086,8.872086
0.340000,1.187780,-8.348469,-0.164767,-0.112727,-6.309749,259.026725,-9.843270,9.843270
0.350000,1.265184,-8.992118,-0.221312,2.293267,-8.589518,281.961258,-10.770799,10.770799
0.360000,1.210170,-9.982054,-0.361921,5.149327,-14.123312,261.893014,-11.651233,11.651233
0.370000,1.228987,-9.992243,-0.574534,8.235100,-21.030078,228.356324,-12.481337,12.481337
0.380000,1.316768,-8.878647,-0.855108,10.093625,-29.910933,254.367257,-13.258087,13.258087
0.390000,1.168567,-9.186580,-1.113897,12.005200,-44.411374,209.956304,-13.978687,13.978687
0.400000,1.241466,-8.006891,-1.864433,14.482246,-56.227690,239.074895,-14.640577,14.640577
0.410000,1.038400,-7.872799,-2.290252,18.321357,-74.810222,231.929239,-15.241439,15.241439
0.420000,1.147806,-8.575501,-3.444612,17.654592,-98.827486,278.118333,-15.779208,15.779208
0.430000,1.135734,-7.702946,-3.893585,23.034364,-113.508920,292.875706,-16.252079,16.252079
0.440000,0.940364,-8.159959,-5.435243,23.475401,-132.198043,402.733691,-16.658510,16.658510
0.450000,0.991721,-8.229867,-6.598113,32.673810,-172.124958,584.972532,-16.997232,16.997232
0.460000,0.925813,-7.212685,-9.927110,39.316632,-255.069673,915.128654,-17.267245,17.267245
0.470000,0.840745,-6.596669,-11.261580,44.315800,-400.575413,1297.053718,-17.467828,17.467828
0.480000,0.647028,-6.724027,-15.244918,66.487838,-154.839363,603.312998,-17.598536,17.598536
0.490000,0.457771,-6.118746,-15.482906,54.709306,291.853711,-1252.540817,-17.659203,17.659203
0.500000,0.334887,-5.605718,-10.699922,43.015708,218.224392,-707.479928,-17.649938,17.649938
0.510000,0.235931,-5.255214,-9.978976,36.581587,157.025316,-369.517750,-17.571127,17.571127
0.520000,0.166053,-4.219146,-8.752329,40.929672,122.170804,-138.368511,-17.423428,17.423428
0.530000,0.090000,-3.862379,-7.876495,34.026648,123.960875,44.917116,-17.207766,17.207766
0.540000,0.022041,-3.861301,-6.179602,38.703432,154.912760,199.558630,-16.925330,16.925330
0.550000,-0.033179,-3.173230,-4.281460,42.713521,78.912905,174.390726,-16.577568,16.577568
0.560000,-0.080946,-2.911996,-4.778065,37.452050,-122.160920,-77.130579,-16.166177,16.166177
0.570000,-0.138558,-2.400371,-6.998180,36.700651,-216.792716,-43.949766,-15.693095,15.693095
0.580000,-0.230776,-2.291910,-9.039288,38.726964,-198.437054,206.385226,-15.160496,15.160496
0.590000,-0.300229,-1.765067,-10.071902,40.877712,-215.406560,461.847829,-14.570777,14.570777
0.600000,-0.395465,-1.291861,-13.104096,51.248099,-356.844159,1114.501343,-13.926548,13.926548
0.610000,-0.528776,-0.692891,-17.287598,59.684863,-556.363883,2034.371858,-13.230620,13.230620
0.620000,-0.731958,0.068113,-18.839854,71.679031,273.499062,-1233.219275,-12.485996,12.485996
0.630000,-0.969185,0.699687,-16.566596,60.584430,491.975301,-1972.531795,-11.695854,11.695854
0.640000,-1.178919,1.166761,-11.348009,41.072082,223.580440,-920.999265,-10.863538,10.863538
0.650000,-1.188654,1.702232,-11.097523,37.183935,169.701841,-478.684662,-9.992538,9.992538
0.660000,-1.225930,2.099255,-8.692990,35.811641,109.167714,-219.711307,-9.086483,9.086483
0.670000,-1.402572,2.180504,-7.435798,32.924523,98.242186,-107.366447,-8.149120,8.149120
0.680000,-1.351468,2.672179,-6.500643,29.543675,94.229224,-46.732272,-7.184300,7.184300
0.690000,-1.673840,2.610898,-6.096705,29.742076,45.761595,-64.688203,-6.195965,6.195965
0.700000,-1.662393,3.451340,-5.895214,27.196397,-14.021661,-139.763211,-5.188130,5.188130
0.710000,-1.763537,3.581466,-5.873435,30.329460,-47.348208,-177.091462,-4.164864,4.164864
0.720000,-1.855419,4.088881,-6.220252,26.839225,-46.067067,-137.850402,-3.130281,3.130281
0.730000,-1.695434,4.185333,-7.757699,25.284349,-33.406384,-81.379209,-2.088515,2.088515
0.740000,-1.830692,4.240470,-7.178694,25.797467,-22.781336,-51.533921,-1.043709,1.043709
0.750000,-1.932606,4.109902,-8.164776,25.389133,-16.559763,-41.888500,-0.000000,0.000000
0.760000,-1.981846,4.297146,-7.941218,24.274441,-6.991817,-45.548122,1.038504,-1.038504
0.770000,-2.201838,5.200302,-7.657664,24.593288,3.859781,-79.218955,2.067733,-2.067733
0.780000,-2.131455,5.484210,-7.658993,23.945128,22.114355,-140.932582,3.083677,-3.083677
0.790000,-2.223514,5.210001,-7.317802,20.964686,53.417146,-234.388272,4.082394,-4.082394
0.800000,-2.260521,5.138974,-6.412212,15.954071,88.801861,-418.176489,5.060034,-5.060034
0.810000,-2.402026,6.219238,-5.876044,11.401162,106.519732,-573.004599,6.012847,-6.012847
0.820000,-2.174093,5.255212,-4.373157,6.642185,139.748254,-556.475684,6.937199,-6.937199
0.830000,-2.249720,6.213505,-2.801017,0.362554,118.963393,-593.785937,7.829588,-7.829588
0.840000,-2.266658,6.156441,-1.538464,-5.056142,113.483243,-480.325413,8.686655,-8.686655
0.850000,-2.690826,5.812059,-0.553973,-10.165837,86.268256,-463.235402,9.505197,-9.505197
0.860000,-2.323373,5.313623,0.216472,-13.285687,59.880084,-341.130365,10.282177,-10.282177
0.870000,-2.422116,5.540370,0.663138,-17.686818,33.467062,-237.123923,11.014741,-11.014741
0.880000,-2.426298,5.780037,1.010095,-16.983458,11.653275,-180.673800,11.700221,-11.700221
0.890000,-2.266571,5.366703,1.041310,-20.170245,-12.000642,-128.790218,12.336148,-12.336148
0.900000,-2.235002,5.236734,0.771974,-22.643916,-32.578586,-117.933800,12.920264,-12.920264
0.910000,-2.281802,4.625460,0.293106,-22.275605,-59.209169,-145.431768,13.450522,-13.450522
0.920000,-2.372956,4.216110,-0.379090,-24.450287,-88.868202,-153.479817,13.925102,-13.925102
0.930000,-2.221963,4.537692,-1.316197,-28.481474,-112.749452,-199.565388,14.342409,-14.342409
0.940000,-2.704862,3.679059,-2.785138,-27.458424,-153.363585,-303.888034,14.701084,-14.701084
0.950000,-2.364288,3.333589,-4.015961,-34.084535,-162.678231,-319.280977,15.000004,-15.000004
0.960000,-2.553443,3.528497,-5.447387,-34.925598,-40.036067,-184.946938,15.238290,-15.238290
0.970000,-2.454754,3.051686,-5.108337,-32.657932,175.075167,125.851639,15.415304,-15.415304
0.980000,-2.780613,2.729065,-2.185016,-34.198629,245.770987,171.824201,15.530654,-15.530654
0.990000,-2.465270,2.103012,0.287028,-29.936467,241.589477,32.952575,15.584192,-15.584192
1.000000,-2.659817,2.055423,2.463844,-31.000739,249.205685,-131.477400,15.576016,-15.576016
1.010000,-2.761118,1.459684,4.875833,-37.131835,248.046950,-351.982505,15.506465,-15.506465
1.020000,-2.565893,1.307229,7.906693,-42.886448,273.992118,-654.794925,15.376121,-15.376121
1.030000,-2.372266,0.837879,11.369238,-45.755210,396.899530,-1117.759651,15.185800,-15.185800
1.040000,-2.332010,0.252034,13.399223,-65.369627,249.073788,-975.370203,14.936552,-14.936552
1.050000,-2.115751,-0.389230,12.666040,-52.278506,-277.572988,1305.098339,14.629653,-14.629653
1.060000,-2.045429,-0.908448,10.856039,-46.639257,-262.168575,787.270470,14.266601,-14.266601
1.070000,-2.102040,-1.256130,8.345277,-39.350477,-156.056816,405.629961,13.849108,-13.849108
1.080000,-1.785962,-1.859735,7.209721,-37.923577,-160.633369,147.809110,13.379091,-13.379091
1.090000,-1.682435,-2.252472,5.557503,-38.868710,-138.659134,-36.332793,12.858666,-12.858666
1.100000,-1.600948,-2.584456,4.076730,-41.068470,-170.219638,-174.832597,12.290135,-12.290135
1.110000,-1.833444,-2.778772,2.486365,-41.425087,-105.470122,-164.328168,11.675981,-11.675981
1.120000,-1.729061,-3.090161,2.377926,-41.404978,117.750395,156.673594,11.018853,-11.018853
1.130000,-1.597028,-3.297555,4.561634,-39.028275,219.764376,247.089669,10.321555,-10.321555
1.140000,-1.752255,-3.966655,6.123790,-34.792852,217.083700,39.372080,9.587039,-9.587039
1.150000,-1.633519,-4.151263,9.271263,-36.585786,191.941071,-167.297924,8.818384,-8.818384
1.160000,-1.554353,-4.661292,10.261701,-36.144361,220.086381,-418.968706,8.018793,-8.018793
1.170000,-1.400194,-5.154022,12.039496,-43.116996,252.226236,-754.200569,7.191573,-7.191573
1.180000,-1.120305,-6.109746,15.891141,-53.033021,298.992682,-1050.825896,6.340123,-6.340123
1.190000,-0.982783,-6.114613,16.046709,-53.871843,-153.298252,792.390028,5.467920,-5.467920
1.200000,-0.789125,-6.752096,14.768206,-46.005456,-316.636711,1558.442590,4.578508,-4.578508
1.210000,-0.702962,-6.738631,13.029509,-33.013203,-152.595898,965.402169,3.675480,-3.675480
1.220000,-0.601403,-8.057235,10.447628,-26.247115,-85.334718,640.499220,2.762463,-2.762463
1.230000,-0.534857,-7.006751,10.552560,-20.394937,-38.851350,432.167830,1.843108,-1.843108
1.240000,-0.401607,-7.276720,8.994422,-15.263518,-12.036090,406.244457,0.921070,-0.921070
1.250000,-0.322566,-7.489187,10.787968,-11.846333,3.156035,369.901091,0.000000,-0.000000
1.260000,-0.209316,-7.893138,9.935932,-9.946823,10.227032,343.297897,-0.916476,0.916476
1.270000,-0.113829,-8.426567,9.704316,-5.424698,6.791724,377.524206,-1.824768,1.824768
1.280000,-0.023344,-8.385684,10.002335,-2.034519,-2.899810,357.137581,-2.721335,2.721335
1.290000,0.082635,-8.599983,9.708495,1.299485,-18.230842,330.446762,-3.602700,3.602700
1.300000,0.180515,-8.225801,8.701050,4.828229,-45.243481,306.664353,-4.465465,4.465465
1.310000,0.269988,-8.748287,8.803484,7.199728,-72.391706,291.656313,-5.306319,5.306319
1.320000,0.334985,-8.511985,8.616344,10.539685,-97.322520,344.339983,-6.122057,6.122057
1.330000,0.418013,-7.333982,6.800948,13.587555,-115.069219,327.887959,-6.909587,6.909587
1.340000,0.516901,-7.614420,6.139882,18.105653,-143.853920,327.597084,-7.665946,7.665946
1.350000,0.543213,-7.088548,3.693473,20.908366,-162.468374,376.853122,-8.388307,8.388307
1.360000,0.547519,-7.507366,2.120793,28.463514,-204.264984,559.633611,-9.073990,9.073990
1.370000,0.576265,-6.669974,-0.090813,32.573781,-245.474012,724.925061,-9.720475,9.720475
1.380000,0.562714,-6.496699,-2.686033,42.808324,-262.931795,775.691493,-10.325408,10.325408
1.390000,0.491284,-5.672589,-4.100739,40.565974,-27.206295,20.451501,-10.886613,10.886613
1.400000,0.546156,-6.290576,-3.121798,42.897844,191.002587,-624.127001,-11.402093,11.402093
1.410000,0.450869,-5.681717,-1.310366,34.444266,184.699333,-454.424289,-11.870044,11.870044
1.420000,0.452068,-5.239496,0.164572,28.738612,155.763365,-312.364682,-12.288859,12.288859
1.430000,0.461400,-4.439452,1.528808,26.168508,133.303982,-165.599810,-12.657132,12.657132
1.440000,0.506840,-4.391520,3.018373,25.889407,129.500968,-66.436009,-12.973661,12.973661
1.450000,0.585870,-4.659031,4.505703,29.205244,166.296628,25.476492,-13.237457,13.237457
1.460000,0.599839,-3.807410,6.651484,27.571459,183.433250,115.157915,-13.447744,13.447744
1.470000,0.602239,-3.639742,8.123782,26.936460,179.022642,178.455437,-13.603958,13.603958
1.480000,0.718822,-3.681711,9.986329,30.985958,130.315950,212.378830,-13.705754,13.705754
1.490000,0.794549,-3.180334,9.587342,32.456753,-57.180909,34.792418,-13.753001,13.753001
1.500000,0.998628,-2.646437,8.830054,31.726379,-225.751268,-132.180694,-13.745786,13.745786
1.510000,1.108328,-2.450607,5.164448,30.092395,-272.324432,-106.680877,-13.684408,13.684408
1.520000,1.075773,-2.215427,2.722250,28.201560,-291.475170,24.589998,-13.569379,13.569379
1.530000,1.103343,-1.905344,0.311512,33.257919,-247.056123,162.751405,-13.401421,13.401421
1.540000,0.975929,-1.491008,-2.438700,34.632626,-274.009111,332.223259,-13.181461,13.181461
1.550000,1.124501,-1.113489,-5.005950,40.200743,-264.892925,622.796545,-12.910623,12.910623
1.560000,0.984277,-0.770637,-8.872537,45.722592,-345.951394,1016.020162,-12.590231,12.590231
1.570000,0.923134,-0.256732,-12.294156,59.693031,-267.595605,783.432383,-12.221795,12.221795
1.580000,0.785346,0.327899,-10.804989,55.525854,273.254808,-1165.178745,-11.807006,11.807006
1.590000,0.693782,0.847174,-9.060487,44.408396,237.252800,-911.172405,-11.347733,11.347733
1.600000,0.618769,1.215279,-6.748718,39.276382,185.636951,-440.930333,-10.846006,10.846006
1.610000,0.496908,1.479969,-4.581848,36.436258,138.627574,-262.783268,-10.304017,10.304017
1.620000,0.451520,1.990709,-3.130018,32.520621,129.296693,-92.491982,-9.724103,9.724103
1.630000,0.443591,2.035199,-1.652384,34.394527,135.515739,24.576899,-9.108741,9.108741
1.640000,0.486652,2.412591,-0.319529,32.076603,151.321025,115.171103,-8.460532,8.460532
1.650000,0.450909,2.752831,0.990043,32.183441,98.056522,83.105154,-7.782197,7.782197
1.660000,0.425884,2.961095,1.049016,29.707088,-56.477750,-117.045313,-7.076560,7.076560
1.670000,0.500517,3.739051,-0.075303,30.709670,-145.050027,-244.945372,-6.346541,6.346541
1.680000,0.503207,3.693916,-1.798977,29.126479,-169.402247,-168.728751,-5.595139,5.595139
1.690000,0.448559,3.678757,-3.095007,26.153971,-134.643659,-80.685913,-4.825423,4.825423
1.700000,0.369143,3.998427,-4.513314,24.987497,-111.965791,5.668448,-4.040519,4.040519
1.710000,0.320992,5.013605,-5.051698,25.725122,-97.877477,83.525694,-3.243600,3.243600
1.720000,0.292431,5.154609,-6.517444,29.944779,-92.238723,139.347474,-2.437865,2.437865
1.730000,0.231374,4.742572,-6.596373,32.644155,-95.566400,184.246605,-1.626537,1.626537
1.740000,0.130096,5.492616,-8.923934,34.407268,-83.740425,171.347995,-0.812842,0.812842
1.750000,0.059662,6.078650,-8.293410,31.584005,-22.884299,-36.802519,-0.000000,0.000000
1.760000,-0.032894,6.375362,-7.868179,31.607386,95.689238,-508.073751,0.808788,-0.808788
