time [s],q1 [rad],q2 [rad],q1dot [rad/s],q2dot [rad/s],q1ddot [rad/s^2],q2ddot [rad/s^2],u1 [Nm],u2 [Nm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,-20.000000
1.000000,-2.778494,1.847723,2.661517,-30.736512,245.528703,-131.788884,15.576016,-15.576016
2.000000,-0.149423,3.507148,-3.020393,-28.918622,-36.092714,-122.209971,12.130613,-12.130613
3.000000,-1.471325,0.896700,7.102344,-27.275128,145.312662,-445.974126,9.447331,-9.447331
4.000000,-0.435080,-1.727826,-0.100770,-16.105940,-28.726153,-4.012917,7.357589,-7.357589
5.000000,-0.051385,-1.671363,2.948820,-10.075808,4.368737,6.691773,5.730096,-5.730096
6.000000,-0.479405,-1.300654,3.411291,-8.625583,11.243490,19.300756,4.462603,-4.462603
7.000000,-0.432144,-0.968705,1.307014,-10.852913,-4.389104,51.715380,3.475479,-3.475479
8.000000,0.035574,-0.398125,1.864178,-8.972738,-14.672147,68.207147,2.706706,-2.706706
9.000000,0.029658,-0.489870,1.804076,-6.484972,-6.166674,44.139234,2.107984,-2.107984
10.000000,-0.043523,-0.468337,0.879618,-4.264292,-1.796772,24.760229,1.641700,-1.641700
11.000000,0.048723,-0.357449,0.570369,-3.300548,-2.507492,17.224291,1.278557,-1.278557
12.000000,0.030870,-0.279084,0.679465,-2.905916,-1.688244,13.291027,0.995741,-0.995741
13.000000,-0.007105,-0.250352,0.476132,-2.080958,-0.602831,10.468039,0.775484,-0.775484
14.000000,0.024556,-0.159023,0.267521,-1.570519,-0.984716,7.063901,0.603948,-0.603948
15.000000,0.015317,-0.141035,0.314642,-1.343014,-0.752003,6.142196,0.470355,-0.470355
16.000000,-0.001381,-0.113874,0.200080,-0.920458,-0.308659,4.645713,0.366313,-0.366313
17.000000,0.010179,-0.074058,0.133763,-0.732506,-0.387189,3.764136,0.285285,-0.285285
18.000000,0.007826,-0.064703,0.144020,-0.544209,-0.351613,3.005721,0.222180,-0.222180
19.000000,-0.000024,-0.053619,0.093630,-0.414654,-0.131175,2.373154,0.173034,-0.173034
20.000000,0.005060,-0.039343,0.059637,-0.326021,-0.203195,1.683762,0.000000,0.000000
