time [s],q1 [rad],q2 [rad],q1dot [rad/s],q2dot [rad/s],q1ddot [rad/s^2],q2ddot [rad/s^2],u1 [Nm],u2 [Nm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,-20.000000
0.000100,0.000000,0.000000,0.034560,-0.165404,345.600000,-1654.044444,19.999496,-19.999496
0.000200,0.000003,-0.000017,0.069046,-0.330438,344.858026,-1650.333640,19.998984,-19.998984
0.000300,0.000010,-0.000050,0.103458,-0.495101,344.117114,-1646.628209,19.998465,-19.998465
0.000400,0.000021,-0.000099,0.137795,-0.659393,343.377259,-1642.928132,19.997937,-19.997937
0.000500,0.000034,-0.000165,0.172059,-0.823317,342.638455,-1639.233381,19.997401,-19.997401
0.000600,0.000052,-0.000247,0.206249,-0.986871,341.900692,-1635.543917,19.996858,-19.996858
0.000700,0.000072,-0.000346,0.240366,-1.150057,341.163960,-1631.859695,19.996307,-19.996307
0.000800,0.000096,-0.000461,0.274408,-1.312875,340.428245,-1628.180657,19.995748,-19.995748
0.000900,0.000124,-0.000592,0.308378,-1.475326,339.693530,-1624.506737,19.995181,-19.995181
0.001000,0.000155,-0.000740,0.342274,-1.637410,338.959797,-1620.837862,19.994606,-19.994606
0.001100,0.000189,-0.000904,0.376096,-1.799127,338.227026,-1617.173948,19.994023,-19.994023
0.001200,0.000226,-0.001084,0.409846,-1.960479,337.495195,-1613.514904,19.993433,-19.993433
0.001300,0.000267,-0.001280,0.443522,-2.121465,336.764278,-1609.860630,19.992834,-19.992834
0.001400,0.000312,-0.001492,0.477126,-2.282086,336.034250,-1606.211018,19.992228,-19.992228
0.001500,0.000360,-0.001720,0.510656,-2.442342,335.305081,-1602.565950,19.991613,-19.991613
0.001600,0.000411,-0.001964,0.544114,-2.602235,334.576742,-1598.925305,19.990991,-19.990991
0.001700,0.000465,-0.002224,0.577499,-2.761764,333.849199,-1595.288949,19.990361,-19.990361
0.001800,0.000523,-0.002501,0.610811,-2.920929,333.122418,-1591.656743,19.989724,-19.989724
0.001900,0.000584,-0.002793,0.644051,-3.079732,332.396363,-1588.028542,19.989078,-19.989078
0.002000,0.000648,-0.003101,0.677218,-3.238173,331.670995,-1584.404190,19.988424,-19.988424
0.002100,0.000716,-0.003424,0.710312,-3.396251,330.946276,-1580.783528,19.987763,-19.987763
0.002200,0.000787,-0.003764,0.743335,-3.553968,330.222162,-1577.166387,19.987093,-19.987093
0.002300,0.000861,-0.004119,0.776285,-3.711323,329.498612,-1573.552593,19.986416,-19.986416
0.002400,0.000939,-0.004491,0.809162,-3.868317,328.775580,-1569.941965,19.985731,-19.985731
0.002500,0.001020,-0.004877,0.841967,-4.024951,328.053019,-1566.334315,19.985038,-19.985038
0.002600,0.001104,-0.005280,0.874701,-4.181224,327.330882,-1562.729449,19.984337,-19.984337
0.002700,0.001192,-0.005698,0.907361,-4.337136,326.609118,-1559.127168,19.983629,-19.983629
0.002800,0.001282,-0.006132,0.939950,-4.492689,325.887677,-1555.527266,19.982912,-19.982912
0.002900,0.001376,-0.006581,0.972467,-4.647882,325.166506,-1551.929530,19.982188,-19.982188
0.003000,0.001474,-0.007046,1.004911,-4.802715,324.445550,-1548.333743,19.981455,-19.981455
0.003100,0.001574,-0.007526,1.037284,-4.957189,323.724754,-1544.739682,19.980715,-19.980715
0.003200,0.001678,-0.008022,1.069584,-5.111304,323.004062,-1541.147119,19.979967,-19.979967
0.003300,0.001785,-0.008533,1.101813,-5.265060,322.283414,-1537.555820,19.979211,-19.979211
0.003400,0.001895,-0.009059,1.133969,-5.418456,321.562752,-1533.965546,19.978448,-19.978448
0.003500,0.002008,-0.009601,1.166053,-5.571494,320.842015,-1530.376054,19.977676,-19.977676
0.003600,0.002125,-0.010158,1.198065,-5.724172,320.121140,-1526.787095,19.976897,-19.976897
0.003700,0.002245,-0.010731,1.230005,-5.876492,319.400065,-1523.198416,19.976109,-19.976109
0.003800,0.002368,-0.011319,1.261873,-6.028453,318.678724,-1519.609758,19.975314,-19.975314
0.003900,0.002494,-0.011921,1.293669,-6.180055,317.957053,-1516.020860,19.974511,-19.974511
0.004000,0.002623,-0.012539,1.325392,-6.331298,317.234985,-1512.431456,19.973700,-19.973700
0.004100,0.002756,-0.013172,1.357044,-6.482183,316.512452,-1508.841274,19.972881,-19.972881
